product_id,product_name,category,subcategory,brand,price,description
P016,Cotton T-Shirt,Fashion,Tops,TrendWear,899,"Cotton T-Shirt from TrendWear, designed for tops needs with reliable quality and everyday usability."
P017,Casual Shirt,Fashion,Tops,ClassicFit,499,"Casual Shirt from ClassicFit, designed for tops needs with reliable quality and everyday usability."
P018,Hoodie,Fashion,Tops,UrbanStyle,1999,"Hoodie from UrbanStyle, designed for tops needs with reliable quality and everyday usability."
P019,Sweatshirt,Fashion,Tops,UrbanStyle,1499,"Sweatshirt from UrbanStyle, designed for tops needs with reliable quality and everyday usability."
P020,Denim Jeans,Fashion,Bottoms,ClassicFit,3999,"Denim Jeans from ClassicFit, designed for bottoms needs with reliable quality and everyday usability."
P021,Joggers,Fashion,Bottoms,ClassicFit,299,"Joggers from ClassicFit, designed for bottoms needs with reliable quality and everyday usability."
P022,Running Shorts,Fashion,Bottoms,ActiveEdge,2999,"Running Shorts from ActiveEdge, designed for bottoms needs with reliable quality and everyday usability."
P023,Casual Trousers,Fashion,Bottoms,UrbanStyle,1999,"Casual Trousers from UrbanStyle, designed for bottoms needs with reliable quality and everyday usability."
P024,Running Shoes,Fashion,Footwear,UrbanStyle,2999,"Running Shoes from UrbanStyle, designed for footwear needs with reliable quality and everyday usability."
P025,Sneakers,Fashion,Footwear,ClassicFit,3999,"Sneakers from ClassicFit, designed for footwear needs with reliable quality and everyday usability."
P026,Casual Sandals,Fashion,Footwear,ClassicFit,3999,"Casual Sandals from ClassicFit, designed for footwear needs with reliable quality and everyday usability."
P027,Yoga Mat,Sports,Fitness,SportPro,499,"Yoga Mat from SportPro, designed for fitness needs with reliable quality and everyday usability."
P028,Resistance Bands,Sports,Fitness,FitZone,899,"Resistance Bands from FitZone, designed for fitness needs with reliable quality and everyday usability."
P029,Dumbbell Set,Sports,Fitness,ActiveLife,499,"Dumbbell Set from ActiveLife, designed for fitness needs with reliable quality and everyday usability."
P030,Skipping Rope,Sports,Fitness,SportPro,499,"Skipping Rope from SportPro, designed for fitness needs with reliable quality and everyday usability."
P031,Insulated Water Bottle,Sports,Accessories,PowerMove,1199,"Insulated Water Bottle from PowerMove, designed for accessories needs with reliable quality and everyday usability."
P032,Sports Backpack,Sports,Accessories,PowerMove,1499,"Sports Backpack from PowerMove, designed for accessories needs with reliable quality and everyday usability."
P033,Gym Gloves,Sports,Accessories,SportPro,1499,"Gym Gloves from SportPro, designed for accessories needs with reliable quality and everyday usability."
P034,Air Fryer,Home,Kitchen,ComfortPlus,899,"Air Fryer from ComfortPlus, designed for kitchen needs with reliable quality and everyday usability."
P035,Coffee Maker,Home,Kitchen,ComfortPlus,499,"Coffee Maker from ComfortPlus, designed for kitchen needs with reliable quality and everyday usability."
P036,Mixer Grinder,Home,Kitchen,KitchenPro,2999,"Mixer Grinder from KitchenPro, designed for kitchen needs with reliable quality and everyday usability."
P037,Electric Kettle,Home,Kitchen,KitchenPro,699,"Electric Kettle from KitchenPro, designed for kitchen needs with reliable quality and everyday usability."
P038,LED Desk Lamp,Home,Living,DailyLiving,1999,"LED Desk Lamp from DailyLiving, designed for living needs with reliable quality and everyday usability."
P039,Storage Organizer,Home,Living,ComfortPlus,2999,"Storage Organizer from ComfortPlus, designed for living needs with reliable quality and everyday usability."
P040,Cushion Set,Home,Living,KitchenPro,1499,"Cushion Set from KitchenPro, designed for living needs with reliable quality and everyday usability."
P041,Face Wash,Beauty,Skincare,GlowCare,899,"Face Wash from GlowCare, designed for skincare needs with reliable quality and everyday usability."
P042,Moisturizer,Beauty,Skincare,GlowCare,1499,"Moisturizer from GlowCare, designed for skincare needs with reliable quality and everyday usability."
P043,Vitamin C Serum,Beauty,Skincare,DermaGlow,1199,"Vitamin C Serum from DermaGlow, designed for skincare needs with reliable quality and everyday usability."
P044,Sunscreen,Beauty,Skincare,GlowCare,899,"Sunscreen from GlowCare, designed for skincare needs with reliable quality and everyday usability."
P045,Shampoo,Beauty,Haircare,FreshLeaf,899,"Shampoo from FreshLeaf, designed for haircare needs with reliable quality and everyday usability."
P046,Hair Serum,Beauty,Haircare,DermaGlow,1999,"Hair Serum from DermaGlow, designed for haircare needs with reliable quality and everyday usability."
P047,Conditioner,Beauty,Haircare,DermaGlow,699,"Conditioner from DermaGlow, designed for haircare needs with reliable quality and everyday usability."
P048,Python Programming Book,Books,Programming,LearnWell,699,"Python Programming Book from LearnWell, designed for programming needs with reliable quality and everyday usability."
P049,Java Fundamentals Book,Books,Programming,KnowledgeHouse,2999,"Java Fundamentals Book from KnowledgeHouse, designed for programming needs with reliable quality and everyday usability."
P050,Data Science Guide,Books,Programming,LearnWell,3999,"Data Science Guide from LearnWell, designed for programming needs with reliable quality and everyday usability."
P051,Productivity Book,Books,Self Help,CareerBooks,3999,"Productivity Book from CareerBooks, designed for self help needs with reliable quality and everyday usability."
P052,Habits Book,Books,Self Help,CareerBooks,1499,"Habits Book from CareerBooks, designed for self help needs with reliable quality and everyday usability."
P053,Career Development Book,Books,Self Help,KnowledgeHouse,699,"Career Development Book from KnowledgeHouse, designed for self help needs with reliable quality and everyday usability."
